County,Access to electricity
BARINGO,9.6
BOMET,4.3
BUNGOMA,4.5
BUSIA,6
ELGEYO/MARAKWET,7.2
EMBU,14.9
GARISSA,11.6
HOMA BAY,3.3
ISIOLO,18.5
KAJIADO,0.5
KAKAMEGA,5.6
KERICHO,11.8
KIAMBU,53
KILIFI,16.7
KIRINYAGA,16.4
KISII,7.8
KISUMU,18.3
KITUI,4.8
KWALE,10.6
LAIKIPIA,17.7
LAMU,17
MACHAKOS,17
MAKUENI,5.9
MANDERA,2.5
MARSABIT,7.5
MERU,13.1
MIGORI,5.3
MOMBASA,59
MURANG'A,14
NAIROBI,72.4
NAKURU,34
NANDI,6.4
NAROK,5.9
NYAMIRA,6.1
NYANDARUA,10.5
NYERI,26.3
SAMBURU,6.2
SIAYA,4.3
TAITA/TAVETA,7.7
TANA RIVER,2.5
THARAKA-NITHI,3
TRANS NZOIA,8.9
TURKANA,2.4
UASIN GISHU,27.9
VIHIGA,7
WAJIR,3.4
WEST POKOT,2
