County,Total,Results
BARINGO,39,4
BOMET,64,0
BUNGOMA,195,21
BUSIA,138,23
ELGEYO/MARAKWET,62,0
EMBU,72,0
GARISSA,50,0
HOMA BAY,222,5
ISIOLO,55,0
KAJIADO,60,0
KAKAMEGA,167,5
KERICHO,19,0
KIAMBU,30,0
KILIFI,99,10
KIRINYAGA,28,0
KISII,26,0
KISUMU,107,12
KITUI,40,0
KWALE,113,3
LAIKIPIA,34,0
LAMU,29,0
MACHAKOS,30,0
MAKUENI,19,0
MANDERA,40,0
MARSABIT,76,1
MERU,74,0
MIGORI,195,16
MOMBASA,69,1
MURANG'A,47,0
NAIROBI,27,0
NAKURU,45,0
NANDI,49,1
NAROK,37,0
NYAMIRA,42,1
NYANDARUA,34,0
NYERI,36,0
SAMBURU,51,0
SIAYA,135,22
TAITA/TAVETA,57,0
TANA RIVER,59,0
THARAKA-NITHI,66,0
TRANS NZOIA,47,0
TURKANA,45,1
UASIN GISHU,40,0
VIHIGA,101,4
WAJIR,68,0
WEST POKOT,142,1
